name,codename,cores,clock,socket,process,l3_cache,tdp,released
Opteron 6348,Abu Dhabi,12,2.8 to 3.4 GHz,Socket G34,32,8,115,2012-11-05
Opteron 6366 HE,Abu Dhabi,16,1.8 to 3.1 GHz,Socket G34,32,8,85,2012-11-05
Opteron 6376,Abu Dhabi,16,2.3 to 3.2 GHz,Socket G34,32,8,115,2012-11-05
Opteron 6378,Abu Dhabi,16,2.4 to 3.3 GHz,Socket G34,32,8,115,2012-11-05
Opteron 6380,Abu Dhabi,16,2.5 to 3.4 GHz,Socket G34,32,8,115,2012-11-05
Opteron 6386 SE,Abu Dhabi,16,2.8 to 3.5 GHz,Socket G34,32,8,140,2012-11-05
Phenom X4 9100e,Agena,4,1800 MHz,Socket AM2+,65,2,65,2008-03-27
Phenom X4 9150e,Agena,4,1800 MHz,Socket AM2+,65,2,65,2008-07-01
Phenom X4 9350e,Agena,4,2000 MHz,Socket AM2+,65,2,65,2008-07-01
Phenom X4 9450e,Agena,4,2.1 GHz,Socket AM2+,65,2,65,2008-10-01
Phenom X4 9500,Agena,4,2.2 GHz,Socket AM2+,65,2,95,2007-11-19
Phenom X4 9550,Agena,4,2.2 GHz,Socket AM2+,65,2,95,2008-03-27
Phenom X4 9600,Agena,4,2.3 GHz,Socket AM2+,65,2,95,2007-11-19
Phenom X4 9600 BE,Agena,4,2.3 GHz,Socket AM2+,65,2,95,2007-12-19
Phenom X4 9600B,Agena,4,2.3 GHz,Socket AM2+,65,2,95,2008-04-28
Phenom X4 9650,Agena,4,2.3 GHz,Socket AM2+,65,2,95,2008-03-27
Phenom X4 9750 (125W),Agena,4,2.4 GHz,Socket AM2+,65,2,125,2008-03-27
Phenom X4 9750 (95W),Agena,4,2.4 GHz,Socket AM2+,65,2,95,2008-03-27
Phenom X4 9750B,Agena,4,2.4 GHz,Socket AM2+,65,2,95,2008-08-15
Phenom X4 9850 (125W),Agena,4,2.5 GHz,Socket AM2+,65,2,125,2008-07-01
Phenom X4 9850 (95W),Agena,4,2.5 GHz,Socket AM2+,65,2,95,2008-10-01
Phenom X4 9850 BE,Agena,4,2.5 GHz,Socket AM2+,65,2,125,2008-03-27
Phenom X4 9850B,Agena,4,2.5 GHz,Socket AM2+,65,2,95,2008-08-15
Phenom X4 9950 BE (125W),Agena,4,2.6 GHz,Socket AM2+,65,2,125,2008-10-01
Phenom X4 9950 BE (140W),Agena,4,2.6 GHz,Socket AM2+,65,2,140,2008-03-27
Sempron 3000+,Albany,1,1800 MHz,Socket 754,90,N/A,62,2005-07-15
Sempron 3100+,Albany,1,1800 MHz,Socket 754,90,N/A,62,2005-07-15
Sempron 3300+,Albany,1,2000 MHz,Socket 754,90,N/A,62,2005-07-15
Sempron 3400+,Albany,1,2000 MHz,Socket 754,90,N/A,62,2006-01-23
Sempron 3600+,Albany,1,2.2 GHz,Socket 754,90,N/A,62,2006-05-17
Celeron E1200,Allendale,2,1600 MHz,Socket 775,65,N/A,65,2008-01-20
Celeron E1400,Allendale,2,2000 MHz,Socket 775,65,N/A,65,2008-04-20
Celeron E1500,Allendale,2,2.2 GHz,Socket 775,65,N/A,65,2008-11-30
Celeron E1600,Allendale,2,2.4 GHz,Socket 775,65,N/A,65,2009-05-31
Core 2 Duo E4300,Allendale,2,1800 MHz,Socket 775,65,N/A,65,2006-07-27
Core 2 Duo E4400,Allendale,2,2000 MHz,Socket 775,65,N/A,65,2007-07-22
Core 2 Duo E4500,Allendale,2,2.2 GHz,Socket 775,65,N/A,65,2007-07-22
Core 2 Duo E4600,Allendale,2,2.4 GHz,Socket 775,65,N/A,65,2007-10-21
Core 2 Duo E4700,Allendale,2,2.6 GHz,Socket 775,65,N/A,65,2008-03-02
Pentium Dual-Core E2140,Allendale,2,1600 MHz,Socket 775,65,N/A,65,2007-06-03
Pentium Dual-Core E2160,Allendale,2,1800 MHz,Socket 775,65,N/A,65,2007-06-03
Pentium Dual-Core E2180,Allendale,2,2000 MHz,Socket 775,65,N/A,65,2007-08-26
Pentium Dual-Core E2200,Allendale,2,2.2 GHz,Socket 775,65,N/A,65,2007-12-02
Pentium Dual-Core E2220,Allendale,2,2.4 GHz,Socket 775,65,N/A,65,2008-03-02
Core i3-350M,Arrandale,2  / 4,2.267 GHz,Socket G1,32,3,35,2010-01-07
Core i3-370M,Arrandale,2  / 4,2.4 GHz,Socket G1,32,3,35,2010-06-20
Core i3-380M,Arrandale,2  / 4,2.534 GHz,Socket G1,32,3,35,2010-10-26
Core i3-390M,Arrandale,2  / 4,2.667 GHz,Socket G1,32,3,35,2011-01-09
Core i5-430M,Arrandale,2  / 4,2.267 to 2.534 GHz,Socket G1,32,3,35,2010-01-07
Core i5-450M,Arrandale,2  / 4,2.4 to 2.666 GHz,Socket G1,32,3,35,2010-09-26
Core i5-460M,Arrandale,2  / 4,2.534 to 2.8 GHz,Socket G1,32,3,35,2010-09-26
Core i5-480M,Arrandale,2  / 4,2.667 to 2.933 GHz,Socket G1,32,3,35,2011-01-09
Core i5-540M,Arrandale,2  / 4,2.533 to 3.073 GHz,Socket G1,32,3,35,2010-01-07
Core i5-560M,Arrandale,2  / 4,2.667 to 3.2 GHz,Socket G1,32,3,35,2010-09-26
Core i5-580M,Arrandale,2  / 4,2.667 to 3.333 GHz,Socket G1,32,3,35,2010-09-26
Core i7-620M,Arrandale,2  / 4,2.677 to 3.333 GHz,BGA1288,32,4,35,2010-01-07
Core i7-620M,Arrandale,2  / 4,2.677 to 3.333 GHz,Socket G1,32,4,35,2010-01-07
Core i7-640M,Arrandale,2  / 4,2.8 to 3.467 GHz,BGA1288,32,4,35,2010-09-01
Core i7-640M,Arrandale,2  / 4,2.8 to 3.467 GHz,Socket G1,32,4,35,2010-09-01
Pentium P6000,Arrandale,2,1877 MHz,Socket G1,32,3,35,2010-06-20
Pentium P6100,Arrandale,2,2000 MHz,Socket G1,32,3,35,2010-09-26
Pentium P6200,Arrandale,2,2.133 GHz,Socket G1,32,3,35,2010-09-26
Pentium P6300,Arrandale,2,2.266 GHz,Socket G1,32,3,35,2011-01-09
Pentium U5400,Arrandale,2,1200 MHz,BGA1288,32,3,18,2010-05-25
Pentium U5600,Arrandale,2,1333 MHz,BGA1288,32,3,18,2011-01-09
Opteron 842,Athens,1,1600 MHz,Socket 940,90,N/A,85,2004-12-01
Opteron 844,Athens,1,1800 MHz,Socket 940,90,N/A,85,2004-12-01
Opteron 846,Athens,1,2000 MHz,Socket 940,90,N/A,85,2004-12-01
Opteron 846,Athens,1,2000 MHz,Socket 940,90,N/A,85,2004-12-01
Opteron 846 HE,Athens,1,2000 MHz,Socket 940,90,N/A,55,2005-03-01
Opteron 848,Athens,1,2.2 GHz,Socket 940,90,N/A,85,2004-12-01
Opteron 848 HE,Athens,1,2.2 GHz,Socket 940,90,N/A,55,2005-03-01
Opteron 850,Athens,1,2.4 GHz,Socket 940,90,N/A,85,2004-12-01
Opteron 850 HE,Athens,1,2.4 GHz,Socket 940,90,N/A,55,2005-03-01
Opteron 852,Athens,1,2.6 GHz,Socket 940,90,N/A,92,2005-02-14
Opteron 854,Athens,1,2.8 GHz,Socket 940,90,N/A,92,2005-08-01
Opteron 856,Athens,1,3 GHz,Socket 940,90,N/A,92,2006-04-01
Pentium M 1.30,Banias,1,1300 MHz,Socket 478,130,N/A,24,2003-03-12
Pentium M 1.40,Banias,1,1400 MHz,Socket 478,130,N/A,24,2003-03-12
Pentium M 1.50,Banias,1,1500 MHz,Socket 478,130,N/A,24,2003-03-12
