manufacturer,name,chip,released,bus,memory,clock,memory_clock,shaders,tmus,rops
AMD,Stream Processor,R580,2006-05-31,PCIe 1.0 x16,"1024 MB, GDDR3, 256 bit",594 MHz,648 MHz,56,16,16
AMD,FireStream 9170,RV670,2007-11-08,PCIe 2.0 x16,"2 GB, GDDR3, 256 bit",800 MHz,800 MHz,320,16,16
AMD,FireStream 9250,RV770,2008-06-16,PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",625 MHz,993 MHz,800,40,16
AMD,FireStream 9270,RV770,2008-11-13,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",750 MHz,900 MHz,800,40,16
AMD,Radeon HD 6570M Mac Edition,Capilano,2009-10-28,MXM-II,"1024 MB, GDDR3, 128 bit",600 MHz,800 MHz,400,20,8
AMD,FirePro M3900,Seymour,2010-10-19,PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",750 MHz,900 MHz,160,8,4
AMD,FirePro RG220A,RV711,2010-05-01,PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,800 MHz,80,8,4
AMD,FireStream 9350,Cypress,2010-06-01,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",700 MHz,1000 MHz,1440,72,32
AMD,FireStream 9370,Cypress,2010-06-23,PCIe 2.0 x16,"4 GB, GDDR5, 256 bit",825 MHz,1150 MHz,1600,80,32
AMD,Radeon HD 6250 IGP,Loveland,2010-11-09,IGP,System Shared,400 MHz,System Shared,80,8,4
AMD,Radeon HD 6310 IGP,Loveland,2010-11-09,IGP,System Shared,492 MHz,System Shared,80,8,4
AMD,Radeon HD 6310 IGP,Loveland,2010-11-09,IGP,System Shared,276 MHz,System Shared,80,8,4
AMD,Radeon HD 6330M,Robson,2010-11-26,PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",500 MHz,800 MHz,80,8,4
AMD,Radeon HD 6350M,Robson,2010-11-26,PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",500 MHz,800 MHz,80,8,4
AMD,Radeon HD 6370M,Robson,2010-11-26,PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",750 MHz,800 MHz,80,8,4
AMD,Radeon HD 6530M,Capilano,2010-11-26,MXM-II,"1024 MB, DDR3, 128 bit",450 MHz,900 MHz,400,20,8
AMD,Radeon HD 6550M,Lexington,2010-11-26,MXM-II,"1024 MB, DDR3, 128 bit",600 MHz,900 MHz,400,20,8
AMD,Radeon HD 6550M,Capilano,2010-11-26,MXM-II,"1024 MB, DDR3, 128 bit",600 MHz,900 MHz,400,20,8
AMD,Radeon HD 6570M,Capilano,2010-11-26,MXM-II,"1024 MB, GDDR5, 128 bit",650 MHz,900 MHz,400,20,8
AMD,Radeon HD 6850,Barts,2010-10-21,PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",775 MHz,1000 MHz,960,48,32
AMD,Radeon HD 6870,Barts,2010-10-21,PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",900 MHz,1050 MHz,1120,56,32
AMD,Radeon HD 6950,Cayman,2010-12-14,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",800 MHz,1250 MHz,1408,88,32
AMD,Radeon HD 6970,Cayman,2010-12-14,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",880 MHz,1375 MHz,1536,96,32
AMD,FirePro 2270,Cedar,2011-01-31,PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",600 MHz,600 MHz,80,8,4
AMD,FirePro 2270 PCIe x1,Cedar,2011-01-31,PCIe 2.0 x1,"512 MB, GDDR3, 64 bit",600 MHz,600 MHz,80,8,4
AMD,FirePro M5950,Whistler,2011-01-04,MXM-A (3.0),"1024 MB, GDDR5, 128 bit",725 MHz,900 MHz,480,24,8
AMD,FirePro M8900,Blackcomb,2011-04-12,MXM-B (3.0),"2 GB, GDDR5, 256 bit",680 MHz,900 MHz,960,48,32
AMD,FirePro V4900,Turks,2011-11-01,PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1000 MHz,480,24,8
AMD,FirePro V5900,Cayman,2011-05-24,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",600 MHz,500 MHz,512,32,32
AMD,FirePro V7900,Cayman,2011-05-24,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",725 MHz,1250 MHz,1280,80,32
AMD,FirePro V7900 SDI,Cayman,2011-05-24,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",725 MHz,1250 MHz,1280,80,32
AMD,Radeon E6460,Caicos,2011-04-07,PCIe 2.0 x16,"512 MB, GDDR5, 64 bit",600 MHz,800 MHz,160,8,4
AMD,Radeon E6760 MXM,Turks,2011-05-02,MXM-A (3.0),"1024 MB, GDDR5, 128 bit",600 MHz,800 MHz,480,24,8
AMD,Radeon E6760 PCIe,Turks,2011-05-02,PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",600 MHz,800 MHz,480,24,8
AMD,Radeon HD 6230,Park,2011-07-02,PCIe 2.0 x16,"512 MB, DDR2, 64 bit",650 MHz,667 MHz,80,8,4
AMD,Radeon HD 6250,Cedar,2011-01-31,PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,500 MHz,80,8,4
AMD,Radeon HD 6250 IGP,Loveland,2011-06-01,IGP,System Shared,276 MHz,System Shared,80,8,4
AMD,Radeon HD 6290,Cedar,2011-12-04,PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,800 MHz,80,8,4
AMD,Radeon HD 6290 IGP,Loveland,2011-01-07,IGP,System Shared,400 MHz,System Shared,80,8,4
AMD,Radeon HD 6320 IGP,Loveland,2011-08-15,IGP,System Shared,600 MHz,System Shared,80,8,4
AMD,Radeon HD 6320 IGP,Loveland,2011-08-15,IGP,System Shared,508 MHz,System Shared,80,8,4
AMD,Radeon HD 6350,Cedar,2011-02-07,PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,400 MHz,80,8,4
AMD,Radeon HD 6350A,Cedar,2011-04-07,MXM-A (3.0),"512 MB, DDR3, 64 bit",650 MHz,800 MHz,80,8,4
AMD,Radeon HD 6370D IGP,SuperSumo,2011-11-01,IGP,System Shared,443 MHz,System Shared,160,8,4
AMD,Radeon HD 6380G IGP,SuperSumo,2011-06-14,IGP,System Shared,400 MHz,System Shared,160,8,4
AMD,Radeon HD 6390,Redwood,2011-07-04,PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",550 MHz,500 MHz,320,16,8
AMD,Radeon HD 6410D IGP,SuperSumo,2011-06-20,IGP,System Shared,600 MHz,System Shared,160,8,4
AMD,Radeon HD 6410D IGP,SuperSumo,2011-06-20,IGP,System Shared,444 MHz,System Shared,160,8,4
AMD,Radeon HD 6430M,Seymour,2011-01-04,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",480 MHz,800 MHz,160,8,4
AMD,Radeon HD 6450,Caicos,2011-04-07,PCIe 2.0 x16,"512 MB, GDDR5, 64 bit",625 MHz,800 MHz,160,8,4
AMD,Radeon HD 6450 OEM,Caicos,2011-02-07,PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,533 MHz,160,8,4
AMD,Radeon HD 6450A,Caicos,2011-04-07,MXM-A (3.0),"512 MB, DDR3, 64 bit",625 MHz,533 MHz,160,8,4
AMD,Radeon HD 6450M,Seymour,2011-01-04,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",600 MHz,800 MHz,160,8,4
AMD,Radeon HD 6470M,Seymour,2011-01-04,PCIe 2.0 x16,"512 MB, DDR3, 64 bit",700 MHz,800 MHz,160,8,4
AMD,Radeon HD 6480G IGP,SuperSumo,2011-06-14,IGP,System Shared,593 MHz,System Shared,160,8,4
AMD,Radeon HD 6480G IGP,Sumo,2011-06-14,IGP,System Shared,444 MHz,System Shared,240,12,4
AMD,Radeon HD 6490,Redwood,2011-07-04,PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",550 MHz,500 MHz,320,16,8
AMD,Radeon HD 6490M,Seymour,2011-01-04,PCIe 2.0 x16,"512 MB, GDDR5, 64 bit",800 MHz,800 MHz,160,8,4
AMD,Radeon HD 6490M Mac Edition,Seymour,2011-05-02,PCIe 2.0 x16,"256 MB, GDDR5, 64 bit",750 MHz,794 MHz,160,8,4
AMD,Radeon HD 6510,Turks,2011-05-14,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,667 MHz,320,16,8
AMD,Radeon HD 6510,Redwood,2011-05-14,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,500 MHz,400,20,8
AMD,Radeon HD 6520G IGP,Sumo,2011-12-07,IGP,System Shared,400 MHz,System Shared,320,16,8
AMD,Radeon HD 6530,Redwood,2011-05-14,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,600 MHz,400,20,8
AMD,Radeon HD 6530D IGP,Sumo,2011-06-20,IGP,System Shared,443 MHz,System Shared,320,16,8
AMD,Radeon HD 6550A,Pinewood,2011-02-07,MXM-A (3.0),"2 GB, GDDR3, 128 bit",550 MHz,800 MHz,480,24,8
AMD,Radeon HD 6550D IGP,Sumo,2011-06-20,IGP,System Shared,600 MHz,System Shared,400,20,8
AMD,Radeon HD 6570,Turks,2011-04-19,PCIe 2.0 x16,"2 GB, GDDR5, 128 bit",650 MHz,1000 MHz,480,24,8
AMD,Radeon HD 6570,Thames,2011-02-07,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,500 MHz,480,24,8
AMD,Radeon HD 6570 OEM,Turks,2011-02-07,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,900 MHz,480,24,8
